序号,BV号,时间,播放量,点赞,投币,分享,收藏,弹幕,评论,APP观看,网页观看,总观看,播赞比,周刊总分,周刊播放,周刊互动,周刊收藏,周刊硬币,周刊点赞,周刊修正A,周刊修正B,周刊修正C,周刊修正D,周刊基础播放,年刊总分,年刊播放,年刊互动,年刊收藏,年刊硬币,年刊点赞,年刊修正A,年刊修正B,年刊修正C
394,BV1Y2oNB1ESs,2026-04-21T19:01:31.476528,502359,75134,61167,14726,40984,2191,8546,,1057,1000,,,,,,,,,,,,,,,,,,,,,
395,BV1Y2oNB1ESs,2026-04-21T19:02:46.486692,502832,75172,61188,14735,41006,2194,8549,,1062,1000,,,,,,,,,,,,,,,,,,,,,
396,BV1Y2oNB1ESs,2026-04-21T19:04:01.507195,503260,75223,61220,14738,41030,2194,8552,,1062,1000,,,,,,,,,,,,,,,,,,,,,
397,BV1Y2oNB1ESs,2026-04-21T19:05:16.519139,503699,75268,61246,14744,41056,2197,8557,,1057,1000,,,,,,,,,,,,,,,,,,,,,
398,BV1Y2oNB1ESs,2026-04-21T19:06:31.557069,504178,75310,61278,14749,41072,2198,8563,,1058,1000,,,,,,,,,,,,,,,,,,,,,
399,BV1Y2oNB1ESs,2026-04-21T19:07:46.551763,504672,75353,61312,14757,41098,2200,8568,,1044,1000,,,,,,,,,,,,,,,,,,,,,
400,BV1Y2oNB1ESs,2026-04-21T19:09:01.619549,505124,75404,61344,14766,41132,2201,8570,,1053,1000,,,,,,,,,,,,,,,,,,,,,
401,BV1Y2oNB1ESs,2026-04-21T19:10:16.570909,505613,75465,61371,14768,41156,2202,8577,,1064,1000,,,,,,,,,,,,,,,,,,,,,
402,BV1Y2oNB1ESs,2026-04-21T19:11:31.635765,506085,75507,61396,14774,41187,2203,8584,,1061,1000,,,,,,,,,,,,,,,,,,,,,
403,BV1Y2oNB1ESs,2026-04-21T19:12:46.604815,506534,75552,61429,14789,41212,2203,8591,,1073,1000,,,,,,,,,,,,,,,,,,,,,
404,BV1Y2oNB1ESs,2026-04-21T19:14:01.610939,506979,75599,61463,14798,41232,2205,8593,,1074,1000,,,,,,,,,,,,,,,,,,,,,
405,BV1Y2oNB1ESs,2026-04-21T19:15:16.592419,507452,75634,61483,14806,41247,2207,8597,,1083,1000,,,,,,,,,,,,,,,,,,,,,
406,BV1Y2oNB1ESs,2026-04-21T19:16:31.614125,507903,75675,61520,14816,41272,2208,8602,,1085,1000,,,,,,,,,,,,,,,,,,,,,
407,BV1Y2oNB1ESs,2026-04-21T19:17:46.610591,508361,75728,61561,14824,41311,2208,8606,,1094,1000,,,,,,,,,,,,,,,,,,,,,
408,BV1Y2oNB1ESs,2026-04-21T19:19:01.617570,508813,75772,61579,14835,41330,2209,8610,,1098,1000,,,,,,,,,,,,,,,,,,,,,
409,BV1Y2oNB1ESs,2026-04-21T19:20:16.622581,509253,75811,61609,14844,41349,2211,8611,,1100,1000,,,,,,,,,,,,,,,,,,,,,
410,BV1Y2oNB1ESs,2026-04-21T19:21:31.650591,509686,75856,61650,14852,41376,2211,8612,,1091,1000,,,,,,,,,,,,,,,,,,,,,
411,BV1Y2oNB1ESs,2026-04-21T19:22:46.659309,510094,75905,61681,14857,41401,2212,8614,,1088,1000,,,,,,,,,,,,,,,,,,,,,
412,BV1Y2oNB1ESs,2026-04-21T19:24:01.661006,510561,75960,61718,14870,41425,2216,8616,,1089,1000,,,,,,,,,,,,,,,,,,,,,
413,BV1Y2oNB1ESs,2026-04-21T19:25:16.678926,511020,76006,61752,14877,41452,2216,8621,,1093,1000,,,,,,,,,,,,,,,,,,,,,
414,BV1Y2oNB1ESs,2026-04-21T19:26:31.757172,511461,76052,61791,14886,41483,2218,8625,,1107,1000,,,,,,,,,,,,,,,,,,,,,
415,BV1Y2oNB1ESs,2026-04-21T19:27:46.692143,511918,76100,61835,14893,41515,2220,8628,,1097,1000,,,,,,,,,,,,,,,,,,,,,
416,BV1Y2oNB1ESs,2026-04-21T19:29:01.695597,512349,76145,61862,14898,41541,2222,8633,,1107,1000,,,,,,,,,,,,,,,,,,,,,
417,BV1Y2oNB1ESs,2026-04-21T19:30:16.714151,512784,76195,61903,14906,41568,2222,8634,,1105,1000,,,,,,,,,,,,,,,,,,,,,
418,BV1Y2oNB1ESs,2026-04-21T19:31:31.717637,513202,76236,61930,14917,41594,2223,8635,,1112,1000,,,,,,,,,,,,,,,,,,,,,
419,BV1Y2oNB1ESs,2026-04-21T19:32:46.748586,513648,76284,61959,14922,41620,2226,8637,,1108,1000,,,,,,,,,,,,,,,,,,,,,
420,BV1Y2oNB1ESs,2026-04-21T19:34:01.744264,514045,76321,61996,14933,41648,2227,8640,,1117,1000,,,,,,,,,,,,,,,,,,,,,
421,BV1Y2oNB1ESs,2026-04-21T19:35:16.755611,514468,76351,62006,14940,41665,2228,8642,,1111,1000,,,,,,,,,,,,,,,,,,,,,
422,BV1Y2oNB1ESs,2026-04-21T19:36:31.797311,514884,76388,62036,14947,41695,2228,8642,,1121,1000,,,,,,,,,,,,,,,,,,,,,
423,BV1Y2oNB1ESs,2026-04-21T19:37:46.765915,515337,76434,62061,14955,41720,2228,8644,,1136,1000,,,,,,,,,,,,,,,,,,,,,
424,BV1Y2oNB1ESs,2026-04-21T19:39:01.790676,515804,76487,62104,14964,41748,2230,8645,,1135,1000,,,,,,,,,,,,,,,,,,,,,
425,BV1Y2oNB1ESs,2026-04-21T19:40:16.801346,516257,76520,62125,14969,41774,2230,8645,,1133,1000,,,,,,,,,,,,,,,,,,,,,
426,BV1Y2oNB1ESs,2026-04-21T19:41:31.807222,516734,76574,62159,14976,41803,2230,8648,,1136,1000,,,,,,,,,,,,,,,,,,,,,
427,BV1Y2oNB1ESs,2026-04-21T19:42:46.805649,517190,76612,62186,14985,41828,2230,8651,,1126,1000,,,,,,,,,,,,,,,,,,,,,
428,BV1Y2oNB1ESs,2026-04-21T19:44:01.824702,517647,76652,62217,14990,41847,2231,8653,,1128,1000,,,,,,,,,,,,,,,,,,,,,
429,BV1Y2oNB1ESs,2026-04-21T19:45:16.842262,518085,76697,62243,14997,41878,2231,8654,,1110,1000,,,,,,,,,,,,,,,,,,,,,
430,BV1Y2oNB1ESs,2026-04-21T19:46:31.841525,518516,76748,62283,15005,41907,2232,8657,,1114,1000,,,,,,,,,,,,,,,,,,,,,
431,BV1Y2oNB1ESs,2026-04-21T19:47:46.865973,518986,76789,62317,15011,41930,2233,8658,,1122,1000,,,,,,,,,,,,,,,,,,,,,
432,BV1Y2oNB1ESs,2026-04-21T19:49:01.856642,519451,76836,62344,15018,41952,2235,8661,,1134,1000,,,,,,,,,,,,,,,,,,,,,
433,BV1Y2oNB1ESs,2026-04-21T19:50:16.872910,519901,76892,62381,15030,41977,2235,8664,,1126,1000,,,,,,,,,,,,,,,,,,,,,
434,BV1Y2oNB1ESs,2026-04-21T19:51:31.896903,520385,76937,62403,15036,41996,2236,8665,,1143,1000,,,,,,,,,,,,,,,,,,,,,
435,BV1Y2oNB1ESs,2026-04-21T19:52:46.907083,520881,76984,62429,15039,42023,2236,8668,,1140,1000,,,,,,,,,,,,,,,,,,,,,
436,BV1Y2oNB1ESs,2026-04-21T19:54:01.914340,521361,77045,62477,15049,42062,2237,8671,,1148,1000,,,,,,,,,,,,,,,,,,,,,
437,BV1Y2oNB1ESs,2026-04-21T19:55:16.913657,521824,77097,62521,15056,42087,2238,8677,,1154,1000,,,,,,,,,,,,,,,,,,,,,
438,BV1Y2oNB1ESs,2026-04-21T19:56:31.935677,522327,77156,62560,15068,42114,2239,8679,,1161,1000,,,,,,,,,,,,,,,,,,,,,
439,BV1Y2oNB1ESs,2026-04-21T19:57:46.932702,522810,77211,62598,15075,42144,2241,8680,,1163,1000,,,,,,,,,,,,,,,,,,,,,
440,BV1Y2oNB1ESs,2026-04-21T19:59:01.957918,523285,77264,62616,15077,42165,2242,8680,,1162,1000,,,,,,,,,,,,,,,,,,,,,
441,BV1Y2oNB1ESs,2026-04-21T20:00:16.935411,523734,77319,62648,15088,42193,2242,8682,,1167,1000,,,,,,,,,,,,,,,,,,,,,
442,BV1Y2oNB1ESs,2026-04-21T20:01:31.985257,524226,77364,62671,15103,42218,2245,8687,,1166,1000,,,,,,,,,,,,,,,,,,,,,
443,BV1Y2oNB1ESs,2026-04-21T20:02:46.980622,524719,77433,62723,15108,42248,2248,8692,,1170,1000,,,,,,,,,,,,,,,,,,,,,
444,BV1Y2oNB1ESs,2026-04-21T20:04:01.988424,525202,77486,62765,15121,42274,2248,8695,,1184,1000,,,,,,,,,,,,,,,,,,,,,
445,BV1Y2oNB1ESs,2026-04-21T20:05:16.991709,525698,77555,62808,15129,42307,2250,8699,,1191,1000,,,,,,,,,,,,,,,,,,,,,
446,BV1Y2oNB1ESs,2026-04-21T20:06:32.006980,526204,77588,62821,15137,42338,2251,8708,,1193,1000,,,,,,,,,,,,,,,,,,,,,
447,BV1Y2oNB1ESs,2026-04-21T20:07:47.022809,526662,77658,62871,15141,42367,2255,8714,,1180,1000,,,,,,,,,,,,,,,,,,,,,
448,BV1Y2oNB1ESs,2026-04-21T20:09:02.015988,527143,77710,62909,15152,42401,2257,8722,,1173,1000,,,,,,,,,,,,,,,,,,,,,
449,BV1Y2oNB1ESs,2026-04-21T20:10:17.021627,527589,77761,62935,15159,42423,2259,8728,,1176,1000,,,,,,,,,,,,,,,,,,,,,
450,BV1Y2oNB1ESs,2026-04-21T20:11:32.042476,528047,77812,62966,15165,42447,2260,8735,,1196,1000,,,,,,,,,,,,,,,,,,,,,
451,BV1Y2oNB1ESs,2026-04-21T20:12:47.036752,528487,77860,63000,15176,42479,2261,8744,,1214,1000,,,,,,,,,,,,,,,,,,,,,
452,BV1Y2oNB1ESs,2026-04-21T20:14:02.037850,528920,77913,63049,15188,42508,2261,8752,,1219,1000,,,,,,,,,,,,,,,,,,,,,
453,BV1Y2oNB1ESs,2026-04-21T20:15:17.065299,529392,77983,63097,15194,42538,2262,8755,,1213,1000,,,,,,,,,,,,,,,,,,,,,
454,BV1Y2oNB1ESs,2026-04-21T20:16:32.053722,529843,78038,63137,15207,42567,2266,8762,,1219,1000,,,,,,,,,,,,,,,,,,,,,
455,BV1Y2oNB1ESs,2026-04-21T20:17:47.064893,530303,78085,63177,15214,42604,2270,8761,,1229,1000,,,,,,,,,,,,,,,,,,,,,
456,BV1Y2oNB1ESs,2026-04-21T20:19:02.082864,530770,78142,63204,15219,42631,2274,8764,,1226,1000,,,,,,,,,,,,,,,,,,,,,
457,BV1Y2oNB1ESs,2026-04-21T20:20:17.096537,531235,78189,63237,15225,42666,2278,8765,,1241,1000,,,,,,,,,,,,,,,,,,,,,
458,BV1Y2oNB1ESs,2026-04-21T20:21:32.107672,531718,78232,63269,15234,42691,2283,8768,,1237,1000,,,,,,,,,,,,,,,,,,,,,
459,BV1Y2oNB1ESs,2026-04-21T20:22:47.344468,532223,78290,63307,15249,42723,2283,8776,,1230,1000,,,,,,,,,,,,,,,,,,,,,
460,BV1Y2oNB1ESs,2026-04-21T20:22:57.161581,532223,78299,63315,15249,42726,2283,8777,,1238,1000,,,,,,,,,,,,,,,,,,,,,
461,BV1Y2oNB1ESs,2026-04-21T20:23:07.204334,532223,78308,63324,15250,42729,2283,8777,,1225,1000,,,,,,,,,,,,,,,,,,,,,
462,BV1Y2oNB1ESs,2026-04-21T20:23:17.167516,532223,78315,63330,15251,42736,2284,8778,,1232,1000,,,,,,,,,,,,,,,,,,,,,
463,BV1Y2oNB1ESs,2026-04-21T20:23:27.178200,532223,78322,63332,15252,42739,2284,8779,,1222,1000,,,,,,,,,,,,,,,,,,,,,
464,BV1Y2oNB1ESs,2026-04-21T20:23:37.188807,532223,78327,63338,15252,42741,2284,8779,,1216,1000,,,,,,,,,,,,,,,,,,,,,
465,BV1Y2oNB1ESs,2026-04-21T20:23:47.191402,532223,78335,63348,15252,42745,2284,8781,,1219,1000,,,,,,,,,,,,,,,,,,,,,
466,BV1Y2oNB1ESs,2026-04-21T20:23:57.200014,532727,78348,63349,15253,42749,2284,8781,,1216,1000,,,,,,,,,,,,,,,,,,,,,
467,BV1Y2oNB1ESs,2026-04-21T20:24:07.232230,532727,78351,63357,15254,42758,2284,8783,,1219,1000,,,,,,,,,,,,,,,,,,,,,
468,BV1Y2oNB1ESs,2026-04-21T20:24:17.231735,532727,78362,63361,15255,42761,2285,8784,,1225,1000,,,,,,,,,,,,,,,,,,,,,
469,BV1Y2oNB1ESs,2026-04-21T20:24:27.242854,532727,78366,63365,15256,42767,2285,8784,,1222,1000,,,,,,,,,,,,,,,,,,,,,
470,BV1Y2oNB1ESs,2026-04-21T20:24:37.246723,532727,78374,63369,15256,42771,2286,8784,,1211,1000,,,,,,,,,,,,,,,,,,,,,
471,BV1Y2oNB1ESs,2026-04-21T20:24:47.258874,532727,78378,63373,15257,42771,2286,8786,,1221,1000,,,,,,,,,,,,,,,,,,,,,
472,BV1Y2oNB1ESs,2026-04-21T20:24:57.254853,532727,78381,63376,15257,42773,2286,8786,,1228,1000,,,,,,,,,,,,,,,,,,,,,
473,BV1Y2oNB1ESs,2026-04-21T20:25:07.277959,532727,78389,63384,15257,42781,2286,8786,,1217,1000,,,,,,,,,,,,,,,,,,,,,
474,BV1Y2oNB1ESs,2026-04-21T20:25:17.277635,533184,78393,63386,15257,42785,2286,8786,,1227,1000,,,,,,,,,,,,,,,,,,,,,
475,BV1Y2oNB1ESs,2026-04-21T20:25:27.276532,533184,78404,63388,15259,42790,2287,8787,,1215,1000,,,,,,,,,,,,,,,,,,,,,
476,BV1Y2oNB1ESs,2026-04-21T20:25:37.289581,533184,78410,63398,15260,42793,2287,8788,,1223,1000,,,,,,,,,,,,,,,,,,,,,
477,BV1Y2oNB1ESs,2026-04-21T20:25:47.295963,533184,78418,63403,15261,42798,2287,8788,,1222,1000,,,,,,,,,,,,,,,,,,,,,
478,BV1Y2oNB1ESs,2026-04-21T20:25:57.301837,533184,78430,63413,15263,42799,2288,8789,,1212,1000,,,,,,,,,,,,,,,,,,,,,
479,BV1Y2oNB1ESs,2026-04-21T20:26:07.354223,533184,78438,63417,15264,42802,2288,8789,,1215,1000,,,,,,,,,,,,,,,,,,,,,
480,BV1Y2oNB1ESs,2026-04-21T20:32:08.167005,535688,78681,63599,15313,42945,2292,8797,,1241,1000,,,,,,,,,,,,,,,,,,,,,
481,BV1Y2oNB1ESs,2026-04-21T20:33:24.142552,536212,78731,63630,15320,42967,2293,8801,,1251,1000,,,,,,,,,,,,,,,,,,,,,
482,BV1Y2oNB1ESs,2026-04-21T20:34:40.294206,536734,78786,63668,15326,42998,2293,8804,,1280,1000,,,,,,,,,,,,,,,,,,,,,
483,BV1Y2oNB1ESs,2026-04-21T20:35:56.806856,537291,78852,63709,15334,43023,2293,8806,,1280,1000,,,,,,,,,,,,,,,,,,,,,
484,BV1Y2oNB1ESs,2026-04-21T20:37:13.232374,537836,78919,63740,15345,43050,2293,8810,,1273,1000,,,,,,,,,,,,,,,,,,,,,
485,BV1Y2oNB1ESs,2026-04-21T20:39:52.902250,538949,79051,63828,15376,43125,2297,8816,,1275,1000,,,,,,,,,,,,,,,,,,,,,
486,BV1Y2oNB1ESs,2026-04-21T20:41:09.453384,539557,79126,63881,15387,43170,2300,8822,,1281,1000,,,,,,,,,,,,,,,,,,,,,
487,BV1Y2oNB1ESs,2026-04-21T20:42:25.990054,540104,79171,63927,15395,43202,2304,8823,,1284,1000,,,,,,,,,,,,,,,,,,,,,
488,BV1Y2oNB1ESs,2026-04-21T20:43:42.925360,540635,79223,63960,15404,43231,2305,8827,,1272,1000,,,,,,,,,,,,,,,,,,,,,
489,BV1Y2oNB1ESs,2026-04-21T20:44:59.067889,541181,79292,63998,15412,43266,2308,8830,,1262,1000,,,,,,,,,,,,,,,,,,,,,
490,BV1Y2oNB1ESs,2026-04-21T20:46:15.571145,541706,79342,64035,15421,43305,2310,8834,,1284,1000,,,,,,,,,,,,,,,,,,,,,
491,BV1Y2oNB1ESs,2026-04-21T20:47:32.023457,542251,79389,64082,15434,43330,2310,8835,,1273,1000,,,,,,,,,,,,,,,,,,,,,
492,BV1Y2oNB1ESs,2026-04-21T20:48:48.457023,542836,79445,64132,15448,43364,2313,8839,,1288,1000,,,,,,,,,,,,,,,,,,,,,
493,BV1Y2oNB1ESs,2026-04-21T20:50:04.894359,543335,79486,64154,15458,43393,2316,8844,,1296,1000,,,,,,,,,,,,,,,,,,,,,
494,BV1Y2oNB1ESs,2026-04-21T20:51:21.315025,543865,79545,64199,15467,43423,2317,8847,,1280,1000,,,,,,,,,,,,,,,,,,,,,
495,BV1Y2oNB1ESs,2026-04-21T20:52:37.800725,544383,79586,64219,15474,43444,2319,8853,,1274,1000,,,,,,,,,,,,,,,,,,,,,
496,BV1Y2oNB1ESs,2026-04-21T20:53:54.195610,544882,79632,64246,15487,43469,2320,8854,,1279,1000,,,,,,,,,,,,,,,,,,,,,
497,BV1Y2oNB1ESs,2026-04-21T20:55:10.653227,545422,79685,64293,15499,43495,2321,8860,,1277,1000,,,,,,,,,,,,,,,,,,,,,
498,BV1Y2oNB1ESs,2026-04-21T20:56:27.079698,545926,79735,64326,15508,43532,2322,8862,,1299,1000,,,,,,,,,,,,,,,,,,,,,
499,BV1Y2oNB1ESs,2026-04-21T20:57:43.582336,546998,79801,64379,15513,43559,2324,8866,,1289,1000,,,,,,,,,,,,,,,,,,,,,
500,BV1Y2oNB1ESs,2026-04-21T20:59:00.126770,547527,79852,64429,15525,43599,2324,8868,,1298,1000,,,,,,,,,,,,,,,,,,,,,
501,BV1Y2oNB1ESs,2026-04-21T21:00:16.547595,548036,79905,64472,15538,43640,2327,8870,,1328,1000,,,,,,,,,,,,,,,,,,,,,
502,BV1Y2oNB1ESs,2026-04-21T21:01:32.221518,548558,79965,64505,15544,43665,2333,8878,,1336,1000,,,,,,,,,,,,,,,,,,,,,
503,BV1Y2oNB1ESs,2026-04-21T21:02:48.702683,549074,80030,64554,15552,43699,2333,8882,,1350,1000,,,,,,,,,,,,,,,,,,,,,
504,BV1Y2oNB1ESs,2026-04-21T21:04:05.234136,549557,80096,64606,15565,43739,2334,8889,,1346,1000,,,,,,,,,,,,,,,,,,,,,
505,BV1Y2oNB1ESs,2026-04-21T21:05:21.755837,550031,80149,64651,15574,43767,2337,8892,,1352,1000,,,,,,,,,,,,,,,,,,,,,
506,BV1Y2oNB1ESs,2026-04-21T21:06:38.235239,550558,80202,64686,15578,43801,2339,8892,,1331,1000,,,,,,,,,,,,,,,,,,,,,
507,BV1Y2oNB1ESs,2026-04-21T21:07:54.685116,551025,80252,64726,15591,43828,2339,8897,,1317,1000,,,,,,,,,,,,,,,,,,,,,
508,BV1Y2oNB1ESs,2026-04-21T21:09:11.199433,551516,80312,64773,15597,43852,2341,8905,,1322,1000,,,,,,,,,,,,,,,,,,,,,
509,BV1Y2oNB1ESs,2026-04-21T21:10:27.734108,552015,80362,64813,15604,43882,2348,8910,,1317,1000,,,,,,,,,,,,,,,,,,,,,
510,BV1Y2oNB1ESs,2026-04-21T21:11:44.178940,552504,80404,64847,15617,43910,2350,8906,,1308,1000,,,,,,,,,,,,,,,,,,,,,
511,BV1Y2oNB1ESs,2026-04-21T21:13:00.583758,552988,80466,64898,15626,43947,2354,8910,,1312,1000,,,,,,,,,,,,,,,,,,,,,
512,BV1Y2oNB1ESs,2026-04-21T21:14:17.025140,553467,80511,64925,15638,43978,2354,8911,,1307,1000,,,,,,,,,,,,,,,,,,,,,
513,BV1Y2oNB1ESs,2026-04-21T21:15:33.597220,553939,80564,64972,15648,44012,2357,8916,,1315,1000,,,,,,,,,,,,,,,,,,,,,
514,BV1Y2oNB1ESs,2026-04-21T21:16:50.115160,554422,80618,65016,15658,44042,2359,8922,,1320,1000,,,,,,,,,,,,,,,,,,,,,
515,BV1Y2oNB1ESs,2026-04-21T21:18:06.545816,554847,80663,65054,15662,44069,2361,8928,,1314,1000,,,,,,,,,,,,,,,,,,,,,
516,BV1Y2oNB1ESs,2026-04-21T21:19:23.049176,555288,80714,65096,15673,44105,2362,8929,,1313,1000,,,,,,,,,,,,,,,,,,,,,
517,BV1Y2oNB1ESs,2026-04-21T21:20:39.522439,555729,80760,65131,15681,44129,2362,8931,,1309,1000,,,,,,,,,,,,,,,,,,,,,
518,BV1Y2oNB1ESs,2026-04-21T21:21:56.087777,556167,80807,65176,15688,44160,2364,8934,,1288,1000,,,,,,,,,,,,,,,,,,,,,
519,BV1Y2oNB1ESs,2026-04-21T21:23:12.659000,556583,80854,65204,15695,44190,2365,8938,,1285,1000,,,,,,,,,,,,,,,,,,,,,
520,BV1Y2oNB1ESs,2026-04-21T21:24:29.181796,557026,80903,65243,15705,44222,2368,8938,,1294,1000,,,,,,,,,,,,,,,,,,,,,
521,BV1Y2oNB1ESs,2026-04-21T21:25:45.704207,557510,80944,65278,15709,44245,2372,8943,,1310,1000,,,,,,,,,,,,,,,,,,,,,
522,BV1Y2oNB1ESs,2026-04-21T21:27:02.251674,558000,80993,65322,15713,44278,2373,8944,,1303,1000,,,,,,,,,,,,,,,,,,,,,
523,BV1Y2oNB1ESs,2026-04-21T21:28:18.789239,558490,81048,65364,15726,44307,2375,8948,,1307,1000,,,,,,,,,,,,,,,,,,,,,
524,BV1Y2oNB1ESs,2026-04-21T21:29:35.315062,558943,81098,65408,15734,44349,2376,8951,,1312,1000,,,,,,,,,,,,,,,,,,,,,
525,BV1Y2oNB1ESs,2026-04-21T21:30:51.783927,559414,81134,65443,15744,44376,2378,8954,,1318,1000,,,,,,,,,,,,,,,,,,,,,
526,BV1Y2oNB1ESs,2026-04-21T21:32:08.321804,559870,81175,65477,15750,44403,2379,8959,,1319,1000,,,,,,,,,,,,,,,,,,,,,
527,BV1Y2oNB1ESs,2026-04-21T21:33:24.806088,560307,81237,65499,15754,44422,2382,8971,,1320,1000,,,,,,,,,,,,,,,,,,,,,
528,BV1Y2oNB1ESs,2026-04-21T21:34:41.277490,560807,81293,65541,15762,44447,2383,8973,,1312,1000,,,,,,,,,,,,,,,,,,,,,
529,BV1Y2oNB1ESs,2026-04-21T21:35:57.840587,561304,81348,65576,15767,44483,2384,8977,,1312,1000,,,,,,,,,,,,,,,,,,,,,
530,BV1Y2oNB1ESs,2026-04-21T21:37:14.336283,561796,81395,65611,15772,44511,2385,8980,,1325,1000,,,,,,,,,,,,,,,,,,,,,
531,BV1Y2oNB1ESs,2026-04-21T21:38:30.880274,562284,81449,65649,15782,44546,2392,8982,,1336,1000,,,,,,,,,,,,,,,,,,,,,
532,BV1Y2oNB1ESs,2026-04-21T21:39:47.372857,562766,81501,65693,15791,44578,2395,8986,,1315,1000,,,,,,,,,,,,,,,,,,,,,
533,BV1Y2oNB1ESs,2026-04-21T21:41:03.954649,563252,81545,65728,15804,44603,2396,8991,,1312,1000,,,,,,,,,,,,,,,,,,,,,
534,BV1Y2oNB1ESs,2026-04-21T21:42:20.487308,563725,81599,65771,15813,44634,2398,8998,,1320,1000,,,,,,,,,,,,,,,,,,,,,
535,BV1Y2oNB1ESs,2026-04-21T21:43:36.984182,564219,81659,65820,15820,44665,2403,9004,,1303,1000,,,,,,,,,,,,,,,,,,,,,
536,BV1Y2oNB1ESs,2026-04-21T21:44:53.500153,564728,81710,65852,15832,44694,2404,9016,,1294,1000,,,,,,,,,,,,,,,,,,,,,
537,BV1Y2oNB1ESs,2026-04-21T21:46:10.062351,565232,81778,65907,15843,44731,2406,9022,,1296,1000,,,,,,,,,,,,,,,,,,,,,
538,BV1Y2oNB1ESs,2026-04-21T21:47:26.508004,565727,81826,65947,15857,44771,2412,9030,,1335,1000,,,,,,,,,,,,,,,,,,,,,
539,BV1Y2oNB1ESs,2026-04-21T21:48:43.000031,566223,81874,65970,15869,44794,2416,9036,,1341,1000,,,,,,,,,,,,,,,,,,,,,
540,BV1Y2oNB1ESs,2026-04-21T21:49:59.552784,566750,81927,66010,15879,44826,2421,9041,,1343,1000,,,,,,,,,,,,,,,,,,,,,
541,BV1Y2oNB1ESs,2026-04-21T21:51:16.026342,567268,81985,66058,15885,44860,2422,9049,,1348,1000,,,,,,,,,,,,,,,,,,,,,
542,BV1Y2oNB1ESs,2026-04-21T21:52:32.515271,567790,82045,66091,15896,44897,2426,9052,,1342,1000,,,,,,,,,,,,,,,,,,,,,
543,BV1Y2oNB1ESs,2026-04-21T21:53:48.961879,568289,82104,66123,15906,44928,2429,9057,,1339,1000,,,,,,,,,,,,,,,,,,,,,
544,BV1Y2oNB1ESs,2026-04-21T21:55:05.463275,568850,82158,66156,15923,44964,2432,9060,,1317,1000,,,,,,,,,,,,,,,,,,,,,
545,BV1Y2oNB1ESs,2026-04-21T21:56:21.975147,569385,82212,66197,15931,44999,2435,9066,,1329,1000,,,,,,,,,,,,,,,,,,,,,
546,BV1Y2oNB1ESs,2026-04-21T21:57:38.532194,569932,82269,66248,15945,45034,2437,9067,,1348,1000,,,,,,,,,,,,,,,,,,,,,
547,BV1Y2oNB1ESs,2026-04-21T21:58:54.981418,570485,82332,66301,15954,45068,2440,9073,,1332,1000,,,,,,,,,,,,,,,,,,,,,
548,BV1Y2oNB1ESs,2026-04-21T22:00:11.489107,570985,82392,66353,15960,45106,2440,9078,,1323,1000,,,,,,,,,,,,,,,,,,,,,
549,BV1Y2oNB1ESs,2026-04-21T22:01:28.006204,571508,82463,66410,15970,45141,2442,9084,,1331,1000,,,,,,,,,,,,,,,,,,,,,
550,BV1Y2oNB1ESs,2026-04-21T22:02:44.548846,572079,82532,66451,15981,45178,2446,9086,,1337,1000,,,,,,,,,,,,,,,,,,,,,
551,BV1Y2oNB1ESs,2026-04-21T22:04:01.010977,572563,82591,66490,15993,45217,2446,9090,,1333,1000,,,,,,,,,,,,,,,,,,,,,
552,BV1Y2oNB1ESs,2026-04-21T22:05:17.603862,573075,82651,66558,16001,45253,2450,9096,,1346,1000,,,,,,,,,,,,,,,,,,,,,
553,BV1Y2oNB1ESs,2026-04-21T22:06:33.246314,573554,82717,66628,16009,45291,2453,9101,,1348,1000,,,,,,,,,,,,,,,,,,,,,
554,BV1Y2oNB1ESs,2026-04-21T22:07:49.825180,574038,82785,66664,16016,45324,2457,9104,,1352,1000,,,,,,,,,,,,,,,,,,,,,
555,BV1Y2oNB1ESs,2026-04-21T22:09:06.288444,574587,82830,66689,16026,45353,2458,9108,,1350,1000,,,,,,,,,,,,,,,,,,,,,
556,BV1Y2oNB1ESs,2026-04-21T22:10:22.853532,575592,82890,66733,16043,45387,2460,9116,,1326,1000,,,,,,,,,,,,,,,,,,,,,
557,BV1Y2oNB1ESs,2026-04-21T22:11:39.250377,576112,82965,66760,16055,45434,2466,9119,,1304,1000,,,,,,,,,,,,,,,,,,,,,
558,BV1Y2oNB1ESs,2026-04-21T22:12:55.732144,576637,83027,66796,16063,45479,2468,9122,,1308,1000,,,,,,,,,,,,,,,,,,,,,
559,BV1Y2oNB1ESs,2026-04-21T22:14:12.165430,577121,83084,66845,16079,45517,2470,9124,,1306,1000,,,,,,,,,,,,,,,,,,,,,
560,BV1Y2oNB1ESs,2026-04-21T22:15:28.752047,577668,83150,66889,16092,45552,2476,9129,,1323,1000,,,,,,,,,,,,,,,,,,,,,
561,BV1Y2oNB1ESs,2026-04-21T22:16:45.505517,578171,83208,66952,16112,45597,2484,9136,,1315,1000,,,,,,,,,,,,,,,,,,,,,
562,BV1Y2oNB1ESs,2026-04-21T22:18:01.794217,578684,83277,67021,16127,45636,2489,9145,,1318,1000,,,,,,,,,,,,,,,,,,,,,
563,BV1Y2oNB1ESs,2026-04-21T22:19:18.223228,579243,83350,67069,16137,45668,2500,9148,,1299,1000,,,,,,,,,,,,,,,,,,,,,
